구분,설치목적,설치장소유형,설치위치,도로명,지번,개수,위도,경도,행정동
가로등,,,,,,,35.87157864,128.5911846,성내2동
가로등,,,,,,,35.87157342,128.5910205,성내2동
가로등,,,,,,,35.8700743,128.5939834,성내2동
가로등,,,,,,,35.86628261,128.5935533,남산1동
가로등,,,,,,,35.86644959,128.5935665,남산1동
가로등,,,,,,,35.86664083,128.5935699,남산1동
가로등,,,,,,,35.86682116,128.5935602,성내1동
가로등,,,,,,,35.86700238,128.5935566,성내1동
가로등,,,,,,,35.86721757,128.5935669,성내1동
가로등,,,,,,,35.86739527,128.5935903,성내1동
가로등,,,,,,,35.86757268,128.5936295,성내1동
가로등,,,,,,,35.86775389,128.5936447,성내1동
가로등,,,,,,,35.8679622,128.5936567,성내1동
가로등,,,,,,,35.86812737,128.5936526,성내1동
가로등,,,,,,,35.86831913,128.5936707,성내1동
가로등,,,,,,,35.86855197,128.593712,성내1동
가로등,,,,,,,35.86873166,128.593734,성내1동
가로등,,,,,,,35.86888306,128.593747,성내2동
가로등,,,,,,,35.86909122,128.5937636,성내2동
가로등,,,,,,,35.86927185,128.5937782,성내2동
가로등,,,,,,,35.86945177,128.5937926,성내2동
가로등,,,,,,,35.86963126,128.5938076,성내2동
가로등,,,,,,,35.86984365,128.5938384,성내2동
가로등,,,,,,,35.87001664,128.5938579,성내2동
가로등,,,,,,,35.87021109,128.5938924,성내2동
가로등,,,,,,,35.8703592,128.5939483,성내2동
가로등,,,,,,,35.87053009,128.593981,성내2동
가로등,,,,,,,35.87066627,128.594014,성내1동
가로등,,,,,,,35.87146577,128.5902301,성내2동
가로등,,,,,,,35.87153036,128.5906887,성내2동
가로등,,,,,,,35.87149812,128.5904602,성내2동
가로등,,,,,,,35.87146992,128.5902538,성내2동
가로등,,,,,,,35.87140061,128.5897834,성내2동
가로등,,,,,,,35.8713627,128.589503,성내2동
가로등,,,,,,,35.87130851,128.5891023,성내2동
가로등,,,,,,,35.87126193,128.5887578,성내2동
가로등,,,,,,,35.87122562,128.5884894,성내2동
가로등,,,,,,,35.87117604,128.5881227,성내2동
가로등,,,,,,,35.87114103,128.5878639,성내2동
가로등,,,,,,,35.87109613,128.5875319,성내2동
가로등,,,,,,,35.87432231,128.5909391,성내2동
가로등,,,,,,,35.87550537,128.5910185,성내2동
가로등,,,,,,,35.87525458,128.5910157,성내2동
가로등,,,,,,,35.87488214,128.5910181,성내2동
가로등,,,,,,,35.8746118,128.5909807,성내2동
가로등,,,,,,,35.87432979,128.5909409,성내2동
가로등,,,,,,,35.87284748,128.5908667,성내2동
가로등,,,,,,,35.87396586,128.5909041,성내2동
가로등,,,,,,,35.87378585,128.5909001,성내2동
가로등,,,,,,,35.87360549,128.5908987,성내2동
가로등,,,,,,,35.87324026,128.5908817,성내2동
가로등,,,,,,,35.87306445,128.59089,성내2동
가로등,,,,,,,35.87273396,128.5908895,성내2동
가로등,,,,,,,35.87255791,128.5908874,성내2동
가로등,,,,,,,35.87219939,128.5908853,성내2동
가로등,,,,,,,35.8720179,128.5908838,성내2동
가로등,,,,,,,35.87183821,128.5908892,성내2동
가로등,,,,,,,35.87165393,128.5908964,성내2동
가로등,,,,,,,35.87129873,128.5909391,성내2동
가로등,,,,,,,35.87111789,128.5909669,성내2동
가로등,,,,,,,35.8709395,128.5909956,성내2동
가로등,,,,,,,35.87076006,128.591023,성내2동
가로등,,,,,,,35.87321404,128.5874678,성내2동
가로등,,,,,,,35.87616662,128.5878604,성내2동
가로등,,,,,,,35.87597276,128.5878085,성내2동
가로등,,,,,,,35.87575798,128.5877281,성내2동
가로등,,,,,,,35.87553751,128.5877069,성내2동
가로등,,,,,,,35.87530682,128.587674,성내2동
가로등,,,,,,,35.87501045,128.5876686,성내2동
가로등,,,,,,,35.8746373,128.587631,성내2동
가로등,,,,,,,35.87433421,128.5875997,성내2동
가로등,,,,,,,35.87404802,128.5875712,성내2동
가로등,,,,,,,35.87370007,128.5875359,성내2동
가로등,,,,,,,35.87342324,128.5874985,성내2동
가로등,,,,,,,35.87320047,128.5874722,성내2동
가로등,,,,,,,35.87280377,128.5874336,성내2동
가로등,,,,,,,35.87246032,128.5873997,성내2동
가로등,,,,,,,35.87217095,128.5873698,성내2동
가로등,,,,,,,35.87184081,128.5873346,성내2동
가로등,,,,,,,35.87151331,128.5872987,성내2동
가로등,,,,,,,35.87119197,128.5872657,성내2동
가로등,,,,,,,35.87083519,128.5872265,성내2동
가로등,,,,,,,35.87054874,128.5871981,성내2동
가로등,,,,,,,35.8703115,128.587171,성내2동
가로등,,,,,,,35.87077002,128.5850339,성내3동
가로등,,,,,,,35.8710528,128.5871315,성내3동
가로등,,,,,,,35.87099074,128.5866902,성내3동
가로등,,,,,,,35.8709557,128.5864307,성내3동
가로등,,,,,,,35.87088835,128.585905,성내3동
가로등,,,,,,,35.87082834,128.5854651,성내3동
가로등,,,,,,,35.87077081,128.5850483,성내3동
가로등,,,,,,,35.87561492,128.5807238,성내3동
가로등,,,,,,,35.87465884,128.5818059,성내3동
가로등,,,,,,,35.87486361,128.5817163,성내3동
가로등,,,,,,,35.8750792,128.5815518,성내3동
가로등,,,,,,,35.87528899,128.5813123,성내3동
가로등,,,,,,,35.87543241,128.581114,성내3동
가로등,,,,,,,35.87557566,128.5808681,성내3동
가로등,,,,,,,35.87566882,128.5805612,성내3동
가로등,,,,,,,35.87570676,128.5803158,성내3동
가로등,,,,,,,35.87574984,128.5799546,성내3동
가로등,,,,,,,35.87588191,128.5796815,성내3동
가로등,,,,,,,35.87603627,128.5794423,성내3동
가로등,,,,,,,35.87618499,128.579176,성내3동
가로등,,,,,,,35.87628934,128.578903,성내3동
가로등,,,,,,,35.87635459,128.5785417,성내3동
가로등,,,,,,,35.87359908,128.580305,성내3동
가로등,,,,,,,35.87369652,128.5820241,성내3동
가로등,,,,,,,35.87350807,128.5819944,성내3동
가로등,,,,,,,35.87348035,128.5819265,성내3동
가로등,,,,,,,35.87351075,128.5816071,성내3동
가로등,,,,,,,35.87354307,128.5813935,성내3동
가로등,,,,,,,35.87360647,128.5809469,성내3동
가로등,,,,,,,35.87366407,128.5805786,성내3동
가로등,,,,,,,35.8737287,128.5802192,성내3동
가로등,,,,,,,35.87358555,128.5804079,성내3동
가로등,,,,,,,35.87353117,128.5807579,성내3동
가로등,,,,,,,35.87349464,128.5809974,성내3동
가로등,,,,,,,35.87342464,128.5814245,성내3동
가로등,,,,,,,35.8733983,128.5816136,성내3동
가로등,,,,,,,35.87642587,128.5783326,성내3동
가로등,,,,,,,35.87658081,128.5782477,성내3동
가로등,,,,,,,35.87678579,128.5782193,성내3동
가로등,,,,,,,35.87700188,128.5781977,성내3동
가로등,,,,,,,35.87730104,128.5781553,성내3동
가로등,,,,,,,35.87756142,128.5781199,비산2.3동
가로등,,,,,,,35.8778218,128.5780844,성내3동
가로등,,,,,,,35.87802685,128.5780765,비산2.3동
가로등,,,,,,,35.87515267,128.579695,성내3동
가로등,,,,,,,35.8738262,128.580156,성내3동
가로등,,,,,,,35.87405984,128.5801977,성내3동
가로등,,,,,,,35.87434525,128.5801597,성내3동
가로등,,,,,,,35.87456502,128.5800635,성내3동
가로등,,,,,,,35.87478469,128.5799381,성내3동
가로등,,,,,,,35.87496274,128.5798202,성내3동
가로등,,,,,,,35.87515859,128.5796876,성내3동
가로등,,,,,,,35.87532459,128.5795259,성내3동
가로등,,,,,,,35.87546682,128.5793717,성내3동
가로등,,,,,,,35.8756654,128.5791696,성내3동
가로등,,,,,,,35.87582838,128.5789952,성내3동
가로등,,,,,,,35.87601211,128.5788023,성내3동
가로등,,,,,,,35.87050701,128.5796752,대신동
가로등,,,,,,,35.87062758,128.5816121,대신동
가로등,,,,,,,35.87060029,128.5811848,대신동
가로등,,,,,,,35.87057647,128.5807599,대신동
가로등,,,,,,,35.8705547,128.5803858,대신동
가로등,,,,,,,35.87053187,128.5800584,대신동
가로등,,,,,,,35.87050487,128.5796522,대신동
가로등,,,,,,,35.87071141,128.584582,성내3동
가로등,,,,,,,35.87021765,128.5868513,성내2동
가로등,,,,,,,35.87029553,128.5864943,성내2동
가로등,,,,,,,35.87038825,128.5860557,성내3동
가로등,,,,,,,35.87046989,128.5856787,성내3동
가로등,,,,,,,35.87056204,128.585242,성내3동
가로등,,,,,,,35.87071405,128.5845709,성내3동
가로등,,,,,,,35.87076579,128.5840375,성내3동
가로등,,,,,,,35.87075111,128.5837325,성내3동
가로등,,,,,,,35.87073125,128.5833258,성내3동
가로등,,,,,,,35.87071184,128.5830284,성내3동
가로등,,,,,,,35.8706906,128.5826802,성내3동
가로등,,,,,,,35.87067167,128.5824417,성내3동
가로등,,,,,,,35.87065212,128.5908993,성내2동
가로등,,,,,,,35.87102959,128.5935051,성내2동
가로등,,,,,,,35.87098155,128.5931806,성내2동
가로등,,,,,,,35.87090545,128.5926589,성내2동
가로등,,,,,,,35.87086678,128.5923915,성내2동
가로등,,,,,,,35.87083185,128.5921639,성내2동
가로등,,,,,,,35.87075643,128.5916436,성내2동
가로등,,,,,,,35.87069514,128.5912419,성내2동
가로등,,,,,,,35.87064453,128.590879,성내2동
가로등,,,,,,,35.870596,128.5905511,성내2동
가로등,,,,,,,35.87054276,128.5901694,성내2동
가로등,,,,,,,35.87048927,128.5898007,성내2동
가로등,,,,,,,35.87042724,128.5893891,성내2동
가로등,,,,,,,35.87036352,128.5889565,성내2동
가로등,,,,,,,35.87029882,128.5885165,성내2동
가로등,,,,,,,35.87019443,128.5877923,성내2동
가로등,,,,,,,35.87020504,128.5875075,성내2동
가로등,,,,,,,35.87074908,128.5968836,성내1동
가로등,,,,,,,35.87075426,128.5968651,성내1동
가로등,,,,,,,35.87080894,128.5964764,성내1동
가로등,,,,,,,35.87085203,128.5961086,성내1동
가로등,,,,,,,35.87089095,128.5957463,성내1동
가로등,,,,,,,35.87093364,128.5953097,성내1동
가로등,,,,,,,35.87100112,128.5949554,성내1동
가로등,,,,,,,35.87103301,128.594653,성내1동
가로등,,,,,,,35.87105978,128.5944217,성내1동
가로등,,,,,,,35.86994684,128.6010976,동인동
가로등,,,,,,,35.86936059,128.6038769,동인동
가로등,,,,,,,35.86936048,128.6036871,동인동
가로등,,,,,,,35.86939328,128.6035403,동인동
가로등,,,,,,,35.86942695,128.6033951,동인동
가로등,,,,,,,35.8694944,128.603097,동인동
가로등,,,,,,,35.86957961,128.6027212,동인동
가로등,,,,,,,35.86964901,128.6024149,동인동
